Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
murugesann/executivefunction-infogain-wordle-bench,claude-opus-4-6-default,evaluate_wordle_multi_turn,2,17-04-2026 16:55,1.0135860578237357,,,
murugesann/executivefunction-infogain-wordle-bench,claude-opus-4-6-default,evaluate_cognitive_flexibility,1,26-05-2026 10:22,0.8254573773789626,,,
murugesann/executivefunction-infogain-wordle-bench,glm-5,,1,26-05-2026 05:52,71.59834388962534,,,
murugesann/executivefunction-infogain-wordle-bench,glm-5,evaluate_wordle_single_turn,1,16-04-2026 03:40,0.5989409376744571,,,
murugesann/executivefunction-infogain-wordle-bench,glm-5,evaluate_wordle_single_turn_v2,1,16-04-2026 10:28,0.6347407683754347,,,
murugesann/executivefunction-infogain-wordle-bench,glm-5,evaluate_wordle_multi_turn,2,17-04-2026 16:55,0.8875744766567493,,,
murugesann/executivefunction-infogain-wordle-bench,glm-5,evaluate_cognitive_flexibility,1,26-05-2026 05:52,0.7426775728783724,,,
murugesann/executivefunction-infogain-wordle-bench,gpt-5.4-2026-03-05,,1,26-04-2026 06:26,67.4267430515165,,,
murugesann/executivefunction-infogain-wordle-bench,gpt-5.4-2026-03-05,evaluate_wordle_single_turn,1,16-04-2026 03:41,0.5967875368757914,,,
murugesann/executivefunction-infogain-wordle-bench,gpt-5.4-2026-03-05,evaluate_wordle_single_turn_v2,1,16-04-2026 10:28,0.5902364654464408,,,
murugesann/executivefunction-infogain-wordle-bench,gpt-5.4-2026-03-05,evaluate_wordle_multi_turn,2,17-04-2026 16:56,0.8376883329851664,,,
murugesann/executivefunction-infogain-wordle-bench,gpt-5.4-2026-03-05,evaluate_cognitive_flexibility,1,26-04-2026 06:26,0.6723573867532608,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-4-26b-a4b-it,,1,16-04-2026 03:40,67.41231349701228,,,
