model_name,task_id,input_tokens,output_tokens,cost_usd,time_seconds
gemini-3.1-pro-preview,multi-turn,647213,81273,8.8613,6536
gpt-5.5,multi-turn,512000,75000,12.5,5400
gemini-3.1-pro-preview,single-turn,647213,81273,8.8613,6536
gpt-5.5,single-turn,512000,75000,12.5,5400
gemini-3.1-pro-preview,cognitive-flexibility,647213,81273,8.8613,6536
gpt-5.5,cognitive-flexibility,512000,75000,12.5,5400
